plot,evergreen_cover_2020,plot_area_2020,percent_cover_2020,evergreen_cover_2021,plot_area_2021,percent_cover_2021,evergreen_cover_2022,plot_area_2022,percent_cover_2022,evergreen_cover_2023,plot_area_2023,percent_cover_2023,evergreen_cover_2024,plot_area_2024,percent_cover_2024
1,10.63,10.63,100,1.13,10.63,10.63029163,2.23,10.63,20.97836312,0,10.63,0,0,10.63,0
2,14.1,14.14,99.71711457,0,14.14,0,1.01,14.14,7.142857143,0,14.14,0,0,14.14,0
3,12.85,12.85,100,0,12.85,0,0,12.85,0,0,12.85,0,1.13,12.85,8.793774319
4,15.77,15.77,100,0,15.77,0,2.75,15.77,17.43817375,0,15.77,0,0,15.77,0
5,12.32,12.32,100,0,12.32,0,0,12.32,0,0,12.32,0,0,12.32,0
6,10.73,10.73,100,0.43,10.73,4.007455732,1.58,10.73,14.7250699,1.32,10.73,12.30195713,2.3,10.73,21.43522833
7,11.41,11.41,100,1.05,11.41,9.202453988,1.48,11.41,12.971078,1.74,11.41,15.24978089,3.17,11.41,27.7826468
8,9.55,9.55,100,0.87,9.55,9.109947644,1.58,9.55,16.54450262,2.61,9.55,27.32984293,3.76,9.55,39.37172775
9,7.8,11.77,66.27017842,0,11.77,0,0.65,11.77,5.522514868,0,11.77,0,0,11.77,0
10,11.2,12.3,91.05691057,0,12.3,0,1.55,12.3,12.60162602,2.58,12.3,20.97560976,2.79,12.3,22.68292683
11,11.56,11.56,100,0.82,11.56,7.093425606,1.01,11.56,8.737024221,1.79,11.56,15.48442907,2.68,11.56,23.183391
12,11.53,11.53,100,0.64,11.53,5.550737207,2.23,11.53,19.34084996,2.19,11.53,18.99392888,3.27,11.53,28.36079792
13,12.25,12.25,100,0.56,12.25,4.571428571,2.48,12.25,20.24489796,7.12,12.25,58.12244898,7.09,12.25,57.87755102
14,11,11.05,99.54751131,0.64,11.05,5.791855204,1.32,11.05,11.94570136,6.93,11.05,62.71493213,5.27,11.05,47.69230769
15,14.28,14.28,100,2.74,14.28,19.18767507,5.44,14.28,38.0952381,9.06,14.28,63.44537815,5.86,14.28,41.03641457
16,11.8,11.82,99.83079526,1.75,11.82,14.80541455,4.45,11.82,37.64805415,6.67,11.82,56.42978003,6.44,11.82,54.48392555
17,12.39,12.39,100,1.37,12.39,11.05730428,4.91,12.39,39.62873285,7.31,12.39,58.9991929,7.59,12.39,61.2590799
18,13.66,13.66,100,1.4,13.66,10.2489019,3.9,13.66,28.55051245,6.87,13.66,50.29282577,8.44,13.66,61.78623719
19,12.31,12.39,99.354318,0.46,12.39,3.712671509,3.67,12.39,29.62066182,7.44,12.39,60.04842615,8.7,12.39,70.21791768
20,11.19,11.19,100,1.26,11.19,11.26005362,2.82,11.19,25.20107239,6.24,11.19,55.76407507,7.93,11.19,70.8668454
21,13.2,13.29,99.3227991,2.5,13.29,18.81113619,4.39,13.29,33.03235515,7.59,13.29,57.11060948,10.02,13.29,75.39503386
22,15,15.2,98.68421053,3.54,15.2,23.28947368,5.96,15.2,39.21052632,10.23,15.2,67.30263158,11.27,15.2,74.14473684
23,12.45,12.49,99.6797438,2.28,12.49,18.25460368,3.72,12.49,29.78382706,6.38,12.49,51.08086469,8.58,12.49,68.69495596
24,13.09,13.09,100,2.17,13.09,16.57754011,4.85,13.09,37.05118411,8.99,13.09,68.67838044,10.34,13.09,78.99159664
25,14.44,14.44,100,14.1,14.44,97.64542936,12.84,14.44,88.91966759,12.31,14.44,85.24930748,14.44,14.44,100
26,13.28,13.28,100,13,13.28,97.89156627,11.53,13.28,86.82228916,12.61,13.28,94.95481928,13.28,13.28,100
27,12,12.4,96.77419355,12.4,12.4,100,7.7,12.4,62.09677419,9.76,12.4,78.70967742,9.01,12.4,72.66129032
28,9.16,11.01,83.19709355,9.1,11.01,82.65213442,8.69,11.01,78.92824705,9.02,11.01,81.92552225,8.43,11.01,76.56675749
29,13.83,13.83,100,13,13.83,93.99855387,12.59,13.83,91.03398409,9.02,13.83,65.22053507,12.01,13.83,86.84020246
30,14.1,14.22,99.15611814,14.1,14.22,99.15611814,11.28,14.22,79.32489451,11.76,14.22,82.70042194,12.67,14.22,89.09985935
31,13.73,13.73,100,13.73,13.73,100,12.78,13.73,93.08084487,13.73,13.73,100,13,13.73,94.68317553
32,10.66,10.66,100,10.66,10.66,100,8.97,10.66,84.14634146,10.66,10.66,100,10.66,10.66,100
33,11,11.07,99.36766034,11,11.07,99.36766034,9.33,11.07,84.28184282,9.99,11.07,90.24390244,11.07,11.07,100
34,10.72,10.72,100,10.7,10.72,99.81343284,10.72,10.72,100,10.72,10.72,100,10.72,10.72,100
35,10.9,10.91,99.90834097,10.91,10.91,100,8.58,10.91,78.64344638,7.71,10.91,70.66911091,10.91,10.91,100
36,12.5,12.5,100,12.55,12.5,100.4,10.55,12.5,84.4,12.5,12.5,100,12.5,12.5,100