plot,invasive_cover
1,1
1H,0
2,1
2H,10
3,17
3H,2
4,6
4H,12
5,1
5H,3
6,1
6H,31
7,1
7H,3
8,1
8H,2
9,0.1
9H,0
10,0
10H,2
11,0
11H,0
12,2.1
12H,29
13,0
13H,3.2
14,10
14H,0.5
15,0
15H,0
16,0
16H,0
17,0
17H,0
18,5
18H,0
19,0
19H,0.5
20,0
20H,0
21,0
21H,0.5
22,0
22H,0.5
23,0
23H,0
24,0
24H,0
25,0
25H,0
26,0
26H,0
27,2.1
27H,60
28,40
28H,61
29,0
29H,0
30,0
30H,0
31,0
31H,10
32,0
32H,0.5
33,5
33H,100
34,100
34H,1
35,86
35H,3
36,20.5
36H,20.5